id_medico,id_hospital,dia_semana,hr_inicio,hr_fim
5757738,42.716.935/0001-19,segunda,16:00:00,17:00:00
5757738,49.170.538/0001-33,domingo,11:00:00,12:00:00
5757738,49.170.538/0001-33,terca,14:00:00,15:00:00
5757738,49.170.538/0001-33,domingo,08:00:00,09:00:00
5757738,49.170.538/0001-33,sexta,17:00:00,18:00:00
5757738,42.716.935/0001-19,segunda,15:00:00,16:00:00
5757738,42.716.935/0001-19,sabado,14:00:00,15:00:00
5757738,42.716.935/0001-19,sabado,14:00:00,15:00:00
5757738,42.716.935/0001-19,segunda,09:00:00,10:00:00
5757738,42.716.935/0001-19,domingo,17:00:00,18:00:00
5757738,42.716.935/0001-19,terca,14:00:00,15:00:00
1650946,40.392.758/0001-37,sabado,10:00:00,11:00:00
1396254,56.807.243/0001-90,quarta,08:00:00,09:00:00
1396254,42.716.935/0001-19,domingo,11:00:00,12:00:00
1396254,42.716.935/0001-19,quinta,14:00:00,15:00:00
1396254,42.716.935/0001-19,domingo,17:00:00,18:00:00
1396254,42.716.935/0001-19,sabado,17:00:00,18:00:00
1396254,42.716.935/0001-19,segunda,08:00:00,09:00:00
1396254,42.716.935/0001-19,terca,10:00:00,11:00:00
1396254,42.716.935/0001-19,domingo,11:00:00,12:00:00
5122239,84.105.937/0001-11,terca,14:00:00,15:00:00
5122239,84.105.937/0001-11,quinta,14:00:00,15:00:00
5122239,84.105.937/0001-11,sexta,10:00:00,11:00:00
5122239,84.105.937/0001-11,quinta,15:00:00,16:00:00
5122239,84.105.937/0001-11,segunda,17:00:00,18:00:00
5122239,84.105.937/0001-11,sexta,16:00:00,17:00:00
5122239,84.105.937/0001-11,quinta,08:00:00,09:00:00
5122239,40.678.125/0001-90,sexta,11:00:00,12:00:00
5122239,40.678.125/0001-90,terca,16:00:00,17:00:00
5122239,40.678.125/0001-90,segunda,15:00:00,16:00:00
5122239,40.678.125/0001-90,quarta,16:00:00,17:00:00
3960525,17.936.582/0001-15,sexta,16:00:00,17:00:00
3960525,42.716.935/0001-19,segunda,11:00:00,12:00:00
3960525,42.716.935/0001-19,quarta,09:00:00,10:00:00
3960525,49.170.538/0001-33,sexta,09:00:00,10:00:00
3960525,49.170.538/0001-33,quinta,15:00:00,16:00:00
3960525,49.170.538/0001-33,domingo,15:00:00,16:00:00
3960525,49.170.538/0001-33,terca,14:00:00,15:00:00
3960525,49.170.538/0001-33,domingo,14:00:00,15:00:00
9006204,42.716.935/0001-19,terca,08:00:00,09:00:00
9006204,42.716.935/0001-19,quinta,09:00:00,10:00:00
9006204,42.716.935/0001-19,segunda,17:00:00,18:00:00
9006204,42.716.935/0001-19,sexta,17:00:00,18:00:00
9006204,42.716.935/0001-19,segunda,16:00:00,17:00:00
2112182,40.392.758/0001-37,sexta,14:00:00,15:00:00
2112182,40.678.125/0001-90,domingo,17:00:00,18:00:00
2112182,40.678.125/0001-90,domingo,14:00:00,15:00:00
2112182,40.678.125/0001-90,quarta,10:00:00,11:00:00
2112182,40.678.125/0001-90,domingo,09:00:00,10:00:00
2112182,40.678.125/0001-90,segunda,15:00:00,16:00:00
2112182,40.678.125/0001-90,domingo,08:00:00,09:00:00
8001092,40.678.125/0001-90,quinta,17:00:00,18:00:00
8001092,40.678.125/0001-90,domingo,10:00:00,11:00:00
8001092,40.678.125/0001-90,quinta,11:00:00,12:00:00
3023169,42.716.935/0001-19,quarta,15:00:00,16:00:00
3023169,42.716.935/0001-19,terca,09:00:00,10:00:00
3023169,42.716.935/0001-19,segunda,09:00:00,10:00:00
3023169,42.716.935/0001-19,sexta,09:00:00,10:00:00
3023169,42.716.935/0001-19,quarta,10:00:00,11:00:00
3023169,42.716.935/0001-19,domingo,17:00:00,18:00:00
3023169,42.716.935/0001-19,sabado,11:00:00,12:00:00
5880981,42.716.935/0001-19,segunda,09:00:00,10:00:00
5880981,42.716.935/0001-19,domingo,11:00:00,12:00:00
5880981,42.716.935/0001-19,terca,11:00:00,12:00:00
5880981,42.716.935/0001-19,domingo,15:00:00,16:00:00
5880981,84.105.937/0001-11,terca,16:00:00,17:00:00
5880981,84.105.937/0001-11,sexta,09:00:00,10:00:00
5880981,84.105.937/0001-11,segunda,10:00:00,11:00:00
5880981,84.105.937/0001-11,quinta,14:00:00,15:00:00
5880981,84.105.937/0001-11,domingo,10:00:00,11:00:00
5880981,40.678.125/0001-90,sabado,09:00:00,10:00:00
5880981,40.678.125/0001-90,domingo,17:00:00,18:00:00
5880981,40.678.125/0001-90,quarta,16:00:00,17:00:00
8509065,49.170.538/0001-33,quinta,10:00:00,11:00:00
8509065,49.170.538/0001-33,domingo,17:00:00,18:00:00
8509065,49.170.538/0001-33,sexta,17:00:00,18:00:00
8509065,49.170.538/0001-33,segunda,16:00:00,17:00:00
8509065,84.105.937/0001-11,quinta,09:00:00,10:00:00
8509065,84.105.937/0001-11,quarta,17:00:00,18:00:00
8509065,84.105.937/0001-11,segunda,14:00:00,15:00:00
8509065,84.105.937/0001-11,sabado,09:00:00,10:00:00
1651218,42.716.935/0001-19,quarta,10:00:00,11:00:00
1651218,42.716.935/0001-19,domingo,10:00:00,11:00:00
1651218,42.716.935/0001-19,sabado,16:00:00,17:00:00
1651218,42.716.935/0001-19,terca,14:00:00,15:00:00
1651218,42.716.935/0001-19,segunda,16:00:00,17:00:00
1651218,53.072.816/0001-97,quinta,08:00:00,09:00:00
1651218,53.072.816/0001-97,terca,11:00:00,12:00:00
9091725,60.951.748/0001-00,terca,14:00:00,15:00:00
9091725,60.951.748/0001-00,segunda,11:00:00,12:00:00
9091725,60.951.748/0001-00,terca,15:00:00,16:00:00
9091725,60.951.748/0001-00,quinta,17:00:00,18:00:00
9091725,60.951.748/0001-00,terca,17:00:00,18:00:00
9091725,60.951.748/0001-00,segunda,16:00:00,17:00:00
3031543,84.105.937/0001-11,sabado,11:00:00,12:00:00
3031543,84.105.937/0001-11,sexta,08:00:00,09:00:00
3031543,60.951.748/0001-00,sabado,15:00:00,16:00:00
3031543,60.951.748/0001-00,domingo,08:00:00,09:00:00
3031543,60.951.748/0001-00,quinta,16:00:00,17:00:00
